 
 
 ! The solution file is: SaveSims\iecoal1
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 9
 
 USA         ,-2.53228092E-04,
 EU27        ,-1.79713388E-05,
 EEFSU       , 4.67301637E-04,
 JPN         ,-1.82742690E-04,
 RoA1        , 1.80952979E-04,
 EEx         , 3.40913131E-04,
 CHN         ,-1.71076936E-05,
 IND         ,-3.59532460E-05,
 ROW         , 2.13090316E-05,
 
 
 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 9
 
 USA         ,-2.57573789E-04,
 EU27        ,-3.94423159E-06,
 EEFSU       , 7.01109180E-04,
 JPN         ,-7.17233779E-05,
 RoA1        , 2.85016693E-04,
 EEx         , 6.84262137E-04,
 CHN         ,-1.20459163E-05,
 IND         ,-9.65940053E-05,
 ROW         , 6.48808418E-05,
 
 
 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 8x9
 
 pgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-2.16898028E-04, 1.26601532E-04, 5.47331350E-04,-3.17032891E-06, 3.66801338E-04, 3.71699512E-04, 1.94287259E-05,-1.16423325E-04, 1.67150763E-04,
 Coal        ,-6.09557480E-02,-3.83659179E-04, 3.38163634E-04,-2.51835067E-04,-1.73029475E-04,-3.07373283E-03, 9.95270821E-05, 2.26025331E-05,-2.36245018E-04,
 Oil         ,-5.89828705E-04, 1.65476091E-03, 1.98359718E-03, 9.99392825E-04, 2.63173529E-03, 2.44711712E-03, 1.03905390E-03, 1.26742746E-03, 2.22689542E-03,
 Gas         , 6.33206917E-03, 9.98621923E-04, 1.36772450E-03,-1.61549237E-04, 3.27250268E-03, 1.70277944E-03, 1.00537715E-03, 3.30683280E-04, 1.57023792E-03,
 Oil_pcts    , 1.12286792E-03, 1.65907119E-03, 1.66481687E-03, 1.87110400E-03, 2.03326368E-03, 2.04609567E-03, 1.24561822E-03, 1.82440947E-03, 1.90364290E-03,
 Electricity ,-4.20966838E-03, 2.06070672E-05, 9.02112748E-04, 3.91328533E-04, 1.78165021E-04, 1.19834370E-03, 4.07202970E-05, 9.04379995E-05, 4.62281430E-04,
 En_Int_ind  ,-2.81622168E-04, 1.62696437E-04, 8.38665059E-04, 1.96711146E-04, 4.05625004E-04, 6.38554222E-04, 1.24009894E-04, 2.51109421E-04, 2.96820537E-04,
 Oth_ind_ser ,-2.42311697E-04, 3.21968510E-05, 6.60335354E-04,-1.42981138E-04, 2.92227254E-04, 4.77651600E-04, 3.60310733E-05,-2.43052591E-06, 8.26956748E-05,
 
 
 ! Variable qgd # government hhld demand for domestic i in region s #
 ! Variable qgd(TRAD_COMM:REG) of size 8x9
 
 qgd(TRAD_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,-1.86964986E-04,-1.31064269E-04, 6.12564385E-04,-2.36566848E-04, 9.66077496E-05, 5.09947713E-04, 1.13080736E-04,-7.43495821E-06,-9.14040065E-05,
 Coal        , 8.11034217E-02, 3.64154519E-04, 1.19439512E-03,-5.90531199E-05,-1.20773748E-03, 2.24054768E-03,-1.62722415E-03,-6.07471506E-04,-4.45865933E-03,
 Oil         ,-2.33249652E-04,-1.23419147E-03,-4.24029393E-04,-5.82663284E-04,-1.80987059E-03,-6.26121822E-04,-5.04354946E-04,-8.36901309E-04,-1.45974231E-03,
 Gas         ,-3.15951630E-02, 6.83055865E-03, 4.42768214E-05, 2.09407266E-02, 2.00810144E-03, 9.68731940E-04, 1.32136559E-02, 8.38205405E-03,-2.69504613E-04,
 Oil_pcts    ,-1.92401675E-03,-1.25103234E-03,-1.02599079E-04,-1.45943544E-03,-1.23482675E-03,-2.29035999E-04,-7.30021740E-04,-1.39582728E-03,-1.17065385E-03,
 Electricity , 3.56638338E-03, 3.99337645E-04, 6.29166258E-04, 1.82159783E-05, 4.45661863E-04, 6.19912578E-04, 3.91939568E-04, 3.26872687E-04, 2.98447732E-04,
 En_Int_ind  , 4.55093628E-04,-1.48347579E-04,-4.57559479E-04,-4.48305451E-04,-3.81214428E-04,-1.72632426E-04,-1.13798305E-05,-3.78867728E-04,-2.63433001E-04,
 Oth_ind_ser ,-2.68486154E-04,-5.38269305E-05, 5.00495953E-04,-1.11449510E-04, 1.72552333E-04, 4.69383202E-04,-6.50765942E-05,-1.27533101E-04, 2.69562702E-06,
 
 
 ! Variable pm # market price of commodity i in region r #
 ! Variable pm(NSAV_COMM:REG) of size 14x9
 
 pm(NSAV_COMM:REG),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        , 1.42504228E-03,-2.56942767E-05,-1.85122684E-04,-1.47152896E-04,-1.87755551E-03,-6.37779478E-04,-2.86664959E-04,-4.92274703E-04,-4.04503575E-04,
 Unsklab     ,-7.80542323E-04,-3.12499396E-05, 5.63505571E-04,-2.13658757E-04, 1.26358180E-04, 3.06213973E-04,-3.21396765E-05,-1.16764670E-04, 2.18805690E-05,
 Sklab       ,-1.30690532E-04,-2.57098127E-05, 6.24660519E-04,-2.14193991E-04, 1.47450977E-04, 3.00894870E-04,-5.60822227E-05,-1.20129698E-04,-8.67354356E-06,
 capital     , 3.96709278E-04,-1.01108097E-04, 7.25345686E-04,-3.42341576E-04, 5.70897071E-04, 6.06764341E-04,-9.29034213E-05,-2.09115839E-04,-8.67209674E-05,
 NatRes      ,-3.88991088E-02, 4.17596987E-03, 5.50760003E-03, 4.50160092E-04, 8.01737607E-03, 6.89939829E-03, 1.92287669E-03, 2.99487752E-03, 7.99251907E-03,
 Agr         ,-2.16898028E-04, 1.26601532E-04, 5.47331350E-04,-3.17032891E-06, 3.66801338E-04, 3.71699512E-04, 1.94287259E-05,-1.16423325E-04, 1.67150763E-04,
 Coal        ,-6.09557480E-02,-3.83659179E-04, 3.38163634E-04,-2.51835067E-04,-1.73029475E-04,-3.07373283E-03, 9.95270821E-05, 2.26025331E-05,-2.36245018E-04,
 Oil         ,-5.89828705E-04, 1.65476091E-03, 1.98359718E-03, 9.99392825E-04, 2.63173529E-03, 2.44711712E-03, 1.03905390E-03, 1.26742746E-03, 2.22689542E-03,
 Gas         , 6.33206917E-03, 9.98621923E-04, 1.36772450E-03,-1.61549237E-04, 3.27250268E-03, 1.70277944E-03, 1.00537715E-03, 3.30683280E-04, 1.57023792E-03,
 Oil_pcts    , 1.12286792E-03, 1.65907119E-03, 1.66481687E-03, 1.87110400E-03, 2.03326368E-03, 2.04609567E-03, 1.24561822E-03, 1.82440947E-03, 1.90364290E-03,
 Electricity ,-4.20966838E-03, 2.06070672E-05, 9.02112748E-04, 3.91328533E-04, 1.78165021E-04, 1.19834370E-03, 4.07202970E-05, 9.04379995E-05, 4.62281430E-04,
