 
 
 ! The solution file is: GTAP_Files\SaveSims\coal50
 
 ! Variable qxw # aggregate exports of i from region r, FOB weights #
 ! Variable qxw(TRAD_COMM:REG:Lin+Lev) of size 8x9x4
 
 ! (This array is shown as 4 matrices - each of size 8x9.)
 
 ! The matrix qxw(%1:%2:"Linear") with %1 in TRAD_COMM and %2 in REG. ++++++++
 qxw(TRAD_COMM:REG:"Linear"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         , 5.99429533E-02, 3.50025063E-03,-8.01661760E-02, 2.46478468E-02,-5.48978113E-02,-5.01516052E-02, 2.27557104E-02, 5.39396890E-02,-7.87664670E-03,
 Coal        ,  14.505587    , -1.6000113    , -1.3106122    , -1.0193763    ,-0.85594261    , -3.5125821    ,-0.86827600    , -1.0314480    , -1.2910825    ,
 Oil         ,  1.5793034    , 0.39205480    , 0.14520174    ,  1.4998999    , 0.18849356    , 0.18368715    , 0.75937748    , 0.53055364    , 0.29620573    ,
 Gas         , -5.1285520    ,  1.2859682    , 0.59331125    ,  3.8381886    ,  1.0226995    , 0.38820258    ,  1.4512699    ,  3.3341794    ,  2.3461609    ,
 Oil_pcts    , 8.78303424E-02, 0.11079381    , 0.13914104    , 0.23670764    , 0.70882004    , 0.13512446    , 0.21619043    , 3.50999311E-02, 0.12353540    ,
 Electricity ,  1.6369400    , 1.97854433E-02,-0.17995147    ,-0.11613011    ,-0.34117371    ,-0.32570085    , 5.46372347E-02,-7.56738111E-02,-6.28007203E-02,
 En_Int_ind  , 0.14519450    , 4.20493027E-03,-0.17449139    ,-1.24806783E-03,-7.93543682E-02,-0.12809098    , 1.65915713E-02,-1.51248965E-02,-3.01025789E-02,
 Oth_ind_ser , 7.51431286E-02, 2.00740783E-03,-0.15261060    , 4.75626513E-02,-9.51888338E-02,-0.14885904    ,-1.19297737E-02, 5.13064815E-03,-1.70287751E-02,
 
 ! The matrix qxw(%1:%2:"PreLevel") with %1 in TRAD_COMM and %2 in REG. ++++++
 qxw(TRAD_COMM:REG:"PreLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  52046.457    ,  93608.688    ,  17773.219    ,  732.29242    ,  29230.525    ,  39026.113    ,  11444.648    ,  6304.7163    ,  69499.453    ,
 Coal        ,  3715.0762    ,  1302.2867    ,  6877.8394    , 2.82863379E-02,  18547.742    ,  15770.172    ,  2692.9832    ,  51.121925    ,  3993.1155    ,
 Oil         ,  269.41962    ,  20105.775    ,  178677.69    , 0.12351999    ,  77222.398    ,  593518.94    ,  1073.7610    , 0.49220672    ,  126890.84    ,
 Gas         ,  4424.9458    ,  10559.747    ,  54147.090    , 0.15801896    ,  48166.402    ,  69343.305    ,  511.07751    ,  1.0760458    ,  9270.3594    ,
 Oil_pcts    ,  55420.109    ,  128851.77    ,  64363.410    ,  11054.882    ,  21192.051    ,  109112.38    ,  21665.297    ,  22792.727    ,  91626.625    ,
 Electricity ,  1270.6193    ,  27809.904    ,  4718.5190    , 0.54918408    ,  5409.4595    ,  787.43011    ,  928.84021    ,  31.801191    ,  4966.4526    ,
 En_Int_ind  ,  249716.52    ,  1254727.2    ,  127105.84    ,  148065.02    ,  260349.39    ,  174837.11    ,  168934.84    ,  49380.832    ,  471855.28    ,
 Oth_ind_ser ,  1027433.1    ,  4355727.0    ,  172756.31    ,  632243.75    ,  565014.94    ,  646160.06    ,  1052295.4    ,  153198.05    ,  1672635.6    ,
 
 ! The matrix qxw(%1:%2:"PostLevel") with %1 in TRAD_COMM and %2 in REG. +++++
 qxw(TRAD_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 Agr         ,  52077.656    ,  93611.961    ,  17758.971    ,  732.47290    ,  29214.479    ,  39006.543    ,  11447.253    ,  6308.1172    ,  69493.977    ,
 Coal        ,  4253.9697    ,  1281.4500    ,  6787.6978    , 2.79979929E-02,  18388.984    ,  15216.231    ,  2669.6006    ,  50.594627    ,  3941.5610    ,
 Oil         ,  273.67456    ,  20184.602    ,  178937.12    , 0.12537266    ,  77367.961    ,  594609.12    ,  1081.9149    , 0.49481815    ,  127266.70    ,
 Gas         ,  4198.0103    ,  10695.542    ,  54468.352    , 0.16408403    ,  48659.000    ,  69612.500    ,  518.49463    ,  1.1119231    ,  9487.8564    ,
 Oil_pcts    ,  55468.785    ,  128994.52    ,  64452.965    ,  11081.050    ,  21342.264    ,  109259.81    ,  21712.135    ,  22800.727    ,  91739.812    ,
 Electricity ,  1291.4186    ,  27815.406    ,  4710.0278    , 0.54854631    ,  5391.0039    ,  784.86548    ,  929.34772    ,  31.777126    ,  4963.3335    ,
 En_Int_ind  ,  250079.09    ,  1254780.0    ,  126884.05    ,  148063.17    ,  260142.80    ,  174613.16    ,  168962.88    ,  49373.363    ,  471713.25    ,
 Oth_ind_ser ,  1028205.2    ,  4355814.5    ,  172492.67    ,  632544.44    ,  564477.12    ,  645198.19    ,  1052169.9    ,  153205.91    ,  1672350.8    ,
 
 ! The matrix qxw(%1:%2:"Changes") with %1 in TRAD_COMM and %2 in REG. +++++++
